url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/aptoslabs/jobs/4568398005	2026-05-26	[General: Greenhouse Community]	Community Operations Lead	Aptos Labs	added
https://job-boards.greenhouse.io/coefficient/jobs/4447763006	2026-05-26	[General: Greenhouse Community]	Community Lead	Coefficient	added
https://job-boards.greenhouse.io/mercury/jobs/5502169004	2026-05-26	[General: Greenhouse Community]	Community Manager	Mercury	added
https://job-boards.greenhouse.io/stackblitz/jobs/4223647009	2026-05-26	[General: Greenhouse Community]	Community Manager	Bolt.new	added
https://boards.greenhouse.io/techstars57/jobs/7801187002	2026-05-26	[General: Greenhouse Community]	Community Manager	Techstars	added
https://job-boards.greenhouse.io/later/jobs/8069438002	2026-05-26	[General: Greenhouse Community]	Community Manager	Later	added
https://job-boards.greenhouse.io/remotecom/jobs/7609621003	2026-05-26	[General: Greenhouse Ecosystem]	Senior Partnership Manager - Investment Ecosystem	Remote	added
https://boards.greenhouse.io/launchdarkly/jobs/4532728003	2026-05-26	[General: Greenhouse Ecosystem]	Head of Ecosystem Partnerships	LaunchDarkly	skipped_title
https://boards.greenhouse.io/aptoslabs/jobs/4319890005	2026-05-26	[General: Greenhouse Ecosystem]	Ecosystem Program Manager	Aptos Labs	added
https://boards.greenhouse.io/gofundme/jobs/4913693	2026-05-26	[General: Greenhouse Ecosystem]	Partnerships & Ecosystems Manager	GoFundMe	skipped_title
https://jobs.ashbyhq.com/vanta/ac44a1db-f73d-4fe2-9d71-8a5b9bb1a163	2026-05-26	[General: Ashby Community/Program]	Senior Program Manager Digital Community	Vanta	added
https://jobs.ashbyhq.com/n8n/35707964-4e33-47b9-be92-b286f8187749	2026-05-26	[General: Ashby Community/Program]	Community Manager	n8n	added
https://jobs.ashbyhq.com/notion/268081ab-0265-4454-be54-742f1449e502	2026-05-26	[General: Ashby Community/Program]	B2B Community Manager Lead	Notion	added
https://jobs.ashbyhq.com/wincent/df2ff375-ad6f-411a-b4b0-45e2041c6942	2026-05-26	[General: Ashby Community/Program]	Community Manager EU Remote	Wincent	added
https://jobs.ashbyhq.com/colonist/2ec0bf9a-9e89-4f76-b527-c10f8d5c3a11/application	2026-05-26	[General: Ashby Community/Program]	Community Manager	Colonist	added
https://jobs.ashbyhq.com/trust-wallet/4f25d5e1-28a4-4caa-938b-07f3cd959047	2026-05-26	[General: Ashby Web3 Community]	(DAO) Community Manager	Trust Wallet	added
https://jobs.lever.co/nibiru/388b4a9c-708a-443c-889c-a8ce8d7e93a3	2026-05-26	[General: Lever Community/Ecosystem]	Community Lead	Nibiru	added
https://jobs.lever.co/daos-hub/dbfe8725-8c15-460a-a82c-0281ca4705b1	2026-05-26	[General: Lever Community/Ecosystem]	Community Lead	Daos Hub	added
https://jobs.lever.co/stronghold/7ba5e5fe-e683-4841-a72b-74959bbcaf2c	2026-05-26	[General: Lever Community/Ecosystem]	Crypto Community Manager	Stronghold	added
https://cryptojobslist.com/jobs/community-manager-ticketing-revolution-dao-get-protocol-dao-remote	2026-05-26	[General: CryptoJobsList Community]	Community Manager	GET Protocol DAO	added
https://cryptojobslist.com/jobs/community-manager-virtual-society-foundation-remote	2026-05-26	[General: CryptoJobsList Community]	Community Manager	Virtual Society Foundation	added
https://cryptojobslist.com/jobs/community-builder-manager-pussdao-remote	2026-05-26	[General: CryptoJobsList Community]	Community Builder Manager	PussDAO	added
https://cryptojobslist.com/jobs/director-of-partnerships-radix-ecosystem-rdx-works-remote	2026-05-26	[General: CryptoJobsList Ecosystem]	Director of Partnerships - Radix Ecosystem	RDX Works	skipped_title
https://cryptojobslist.com/jobs/partnerships-manager-blockchain-the-tec-rec-recruitment-agency-remote	2026-05-26	[General: CryptoJobsList Ecosystem]	Partnerships Manager Blockchain	The Tec Rec	added
https://web3.career/ecosystem-dao-and-subdaos-community-manager-polygon/18005	2026-05-26	[General: Web3Career Community]	Web3 Ecosystem DAO Community Manager	Polygon	added
https://web3.career/community-manager-web3-cow-dao-cow-swap/86069	2026-05-26	[General: Web3Career Community]	Community Manager Web3	CoW DAO	added
https://web3.career/community-lead-aztec/101425	2026-05-26	[General: Web3Career Community]	Community Lead	Aztec	added
https://cryptocurrencyjobs.co/marketing/scrib3-community-manager/	2026-05-26	[General: CryptocurrencyJobs]	Community Manager	SCRIB3	added
https://cryptocurrencyjobs.co/marketing/company-confidential-community-manager-fully-remote/	2026-05-26	[General: CryptocurrencyJobs]	Community Manager	Confidential	added
https://cryptocurrencyjobs.co/marketing/akasha-foundation-community-manager/	2026-05-26	[General: CryptocurrencyJobs]	Community Manager	AKASHA Foundation	added
https://cryptocurrencyjobs.co/marketing/across-community-manager/	2026-05-26	[General: CryptocurrencyJobs]	Community Manager	Across	added
https://cryptocurrencyjobs.co/other/blockswap-network-ecosystem-success-manager/	2026-05-26	[General: CryptocurrencyJobs]	Ecosystem Success Manager	Blockswap Network	skipped_title
https://cryptocurrencyjobs.co/marketing/mode-community-manager/	2026-05-26	[General: CryptocurrencyJobs]	Community Manager	Mode	added
https://cryptocurrencyjobs.co/marketing/pozzle-planet-dao-community-manager/	2026-05-26	[General: CryptocurrencyJobs]	Community Manager	Pozzle Planet DAO	added
https://cryptocurrencyjobs.co/marketing/monad-labs-lead-community-manager/	2026-05-26	[General: CryptocurrencyJobs]	Lead Community Manager	Monad Labs	added
https://cryptocurrencyjobs.co/marketing/arrakis-finance-community-manager/	2026-05-26	[General: CryptocurrencyJobs]	Community Manager	Arrakis Finance	added
https://hitmarker.net/jobs/esports-lounge-community-manager-954121	2026-05-26	[General: Hitmarker Community/Gaming]	Community Manager	Esports Lounge	added
https://hitmarker.net/jobs/aftershock-media-group-program-manager-esports-partnerships-1686956	2026-05-26	[General: Hitmarker Community/Gaming]	Program Manager Esports Partnerships	Aftershock Media Group	added
https://hitmarker.net/jobs/thatgamecompany-senior-community-manager-1578114	2026-05-26	[General: Hitmarker Community/Gaming]	Senior Community Manager	thatgamecompany	added
https://hitmarker.net/jobs/people-can-fly-community-manager-1621530	2026-05-26	[General: Hitmarker Community/Gaming]	Community Manager	People Can Fly	added
https://hitmarker.net/jobs/nrg-esports-partnership-manager-1495497	2026-05-26	[General: Hitmarker Esports Ops]	Partnership Manager	NRG Esports	added
https://hitmarker.net/jobs/jam-management-partnership-manager-2909406	2026-05-26	[General: Hitmarker Esports Ops]	Partnership Manager	JAM Management	added
https://remote.com/jobs/flipster-c1gfggha/community-manager-australia-apac-j1xneofa	2026-05-26	[General: Remote.com]	Community Manager APAC	Flipster	added
https://apply.workable.com/chaingpt/j/4A63F23FBB	2026-05-26	[General: Workable Web3]	Senior Community Manager L1 Builder Europe	ChainGPT	added
https://apply.workable.com/thrivecoin/j/BFD565EF12	2026-05-26	[General: Workable Web3]	Senior Community Manager	ThriveCoin	added
https://apply.workable.com/hike/j/65BFA3ED37/	2026-05-26	[General: Workable Web3]	Community Manager Web3	Hike	added
https://apply.workable.com/io-global/j/F3DDB6D5B9	2026-05-26	[General: Workable Web3]	Community Manager IOG Cardano	IO Global	added
https://apply.workable.com/ankr/j/160F6DCF97/	2026-05-26	[General: Workable Web3]	Community Development Manager	Ankr	skipped_title
https://jobgether.com/offer/69a0597a7f0cfae7f11e5816-community-manager	2026-05-26	[General: Jobgether]	Community Manager	Make	added
